caid,association_type,coastal_flag,building_age,avg_funded_pct,last_funded_pct,funding_trend,contribution_ratio,total_open_workorders,critical_deferred_count,avg_deferred_days,open_workorder_cost,target_reserve_failure
CA-FL-00000272,CONDO,1,30,14.513,13.42,-1.265,0.06184,51,23,63.0,355500.33,1
CA-AZ-00000273,CONDO,0,44,27.863,27.75,1.255,0.05087,12,4,40.7,98858.72,1
CA-NV-00000274,HOA,0,10,20.363,18.99,-1.605,0.05643,48,24,72.2,410408.76,1
CA-GA-00000275,HOA,1,43,68.8,72.52,3.275,0.06289,1,0,21.0,10510.53,0
CA-AZ-00000276,CONDO,0,19,77.733,79.68,1.63,0.03718,0,0,0.0,0.0,0
CA-CA-00000277,HOA,1,41,76.25,77.02,0.865,0.05051,1,1,50.0,12800.83,0
CA-VA-00000278,CONDO,0,63,69.963,71.13,0.77,0.04182,0,0,0.0,0.0,0
CA-NC-00000279,HOA,0,61,55.14,57.4,2.39,0.05422,1,0,57.0,12926.65,0
CA-TX-00000280,CONDO,0,9,73.59,71.52,-0.925,0.05642,3,3,51.7,15625.09,0
CA-OH-00000281,CONDO,0,29,57.943,59.02,0.53,0.04036,5,2,84.6,40585.64,0
CA-CO-00000282,CONDO,1,30,21.443,20.07,-1.715,0.05135,50,22,60.6,400579.41,1
CA-CO-00000283,HOA,0,10,37.54,37.26,0.48,0.06514,48,21,55.0,329312.93,0
CA-CA-00000284,PUD,0,43,76.203,77.11,1.26,0.05449,0,0,0.0,0.0,0
CA-NY-00000285,MIXED,0,9,9.857,7.71,-1.395,0.05217,46,23,75.5,336702.43,1
CA-TX-00000286,HOA,0,36,43.84,45.64,1.755,0.05413,0,0,0.0,0.0,0
CA-IL-00000287,HOA,1,52,61.777,62.9,1.155,0.0605,1,0,64.0,5004.35,0
CA-IL-00000288,HOA,0,21,85.357,85.8,-0.24,0.05167,0,0,0.0,0.0,0
CA-VA-00000289,HOA,1,2,11.023,11.11,-0.07,0.05374,47,26,66.5,363053.47,1
CA-FL-00000290,CONDO,1,47,56.6,57.93,0.445,0.06035,17,10,60.8,109591.74,0
CA-VA-00000291,CONDO,1,37,18.76,17.64,-1.215,0.06484,57,32,68.7,394606.49,1
CA-FL-00000292,HOA,1,28,51.083,52.91,1.83,0.06488,16,4,52.2,97973.33,0
CA-FL-00000293,CONDO,1,26,24.847,23.72,-0.765,0.04702,16,9,88.8,108272.11,1
CA-AZ-00000294,CONDO,1,40,89.073,88.04,-0.48,0.05065,0,0,0.0,0.0,0
CA-FL-00000295,CONDO,0,64,16.513,14.83,-2.185,0.04999,54,27,80.2,426548.1,1
CA-FL-00000296,CONDO,1,9,54.08,55.22,0.175,0.0566,3,1,40.7,20535.58,0
CA-FL-00000297,PUD,1,47,40.57,39.08,-1.37,0.05085,4,2,27.2,32267.85,0
CA-TX-00000298,PUD,0,31,67.263,67.14,-0.36,0.06712,0,0,0.0,0.0,0
CA-TX-00000299,CONDO,1,57,75.95,77.35,2.01,0.05844,0,0,0.0,0.0,0
CA-IL-00000300,MIXED,0,20,39.01,38.91,0.26,0.05081,11,7,52.5,76836.24,0
