fee_schedule_id,caid,effective_date,expiration_date,monthly_assessment,frequency,late_fee_amount,late_fee_threshold_days
FS-ZSB41CW6GM7W,CA-TX-00000286,2024-01-01,,307.34,MONTHLY,25,15
FS-UBFTRPXAQK7K,CA-IL-00000287,2024-01-01,,243.66,MONTHLY,25,15
FS-1WFIDSBEAVKR,CA-IL-00000288,2024-01-01,,208.51,MONTHLY,25,15
FS-B6SUPQJV0OOD,CA-VA-00000289,2024-01-01,,359.73,MONTHLY,25,15
FS-ERUNCNOOWXLG,CA-FL-00000290,2024-01-01,,420.9,MONTHLY,25,15
FS-ZYHEKB5UY1CT,CA-VA-00000291,2024-01-01,,587.88,MONTHLY,25,15
FS-139UMWVK3WE4,CA-FL-00000292,2024-01-01,,242.01,MONTHLY,25,15
FS-SVZ07RYWTNSU,CA-FL-00000293,2024-01-01,,661.22,MONTHLY,25,15
FS-KGAI95H1K5LU,CA-AZ-00000294,2024-01-01,,635.06,MONTHLY,25,15
FS-D2CLD62P1L39,CA-FL-00000295,2024-01-01,,761.76,MONTHLY,25,15
FS-6O70GTF9UOH6,CA-FL-00000296,2024-01-01,,483.2,MONTHLY,25,15
FS-ZUTVEYQ7W4RF,CA-FL-00000297,2024-01-01,,201.11,MONTHLY,25,15
FS-BPKGAQLVXNCN,CA-TX-00000298,2024-01-01,,151.49,MONTHLY,25,15
FS-PVDT7N44ZKTD,CA-TX-00000299,2024-01-01,,495.03,MONTHLY,25,15
FS-2HHO98VZOJQ2,CA-IL-00000300,2024-01-01,,429.05,MONTHLY,25,15
